PC1,PC2,dataset,PatientID
-24.95082,16.223452,CMB-OV,MSB-01069
12.778344,11.531085,CMB-OV,MSB-01753
9.501308,-19.531466,CMB-OV,MSB-07401
17.892355,6.1976438,CMB-OV,MSB-08278
-4.517236,10.503527,CMB-OV,MSB-08778
-81.705246,14.763396,CMB-OV,MSB-09351
